timestamp_s,stimulus_state,left_diameter_px,right_diameter_px
8.5620,recovery,8.544203758239746,8.944472312927246
8.6271,recovery,8.544203758239746,8.944472312927246
8.6817,recovery,,9.487032890319824
8.7347,recovery,9.849058151245117,8.062458038330078
8.7803,recovery,9.849058151245117,8.544203758239746
8.8322,recovery,9.487032890319824,9.487032890319824
8.8789,recovery,9.487032890319824,8.665489196777344
8.9280,recovery,8.062458038330078,8.60252571105957
8.9826,recovery,8.544203758239746,8.310585021972656
9.0316,recovery,8.544203758239746,8.60252571105957
9.0859,recovery,9.849058151245117,8.944472312927246
9.1299,recovery,10.440506935119629,8.062458038330078
9.1764,recovery,8.544203758239746,8.60252571105957
9.2254,recovery,8.544203758239746,8.944472312927246
9.2690,recovery,8.246411323547363,8.60252571105957
9.3160,recovery,8.544203758239746,8.544203758239746
9.4065,recovery,9.487032890319824,9.487032890319824
9.4535,recovery,8.544203758239746,7.852128982543945
9.5149,recovery,8.944472312927246,9.487032890319824
9.5695,recovery,9.487032890319824,9.849058151245117
9.6185,recovery,9.487032890319824,8.944472312927246
9.6641,recovery,9.219744682312012,8.60252571105957
9.7131,recovery,7.615972995758057,8.544203758239746
9.7716,recovery,8.038185119628906,8.944472312927246
9.8156,recovery,8.062458038330078,8.944472312927246
9.8632,recovery,7.615972995758057,8.062458038330078
9.9092,recovery,9.487032890319824,8.062458038330078
9.9572,recovery,8.66549015045166,8.610694885253906
9.9993,recovery,8.544203758239746,8.60252571105957
10.0613,recovery,9.487032890319824,8.544203758239746
10.1084,recovery,8.062458038330078,8.246411323547363
10.1608,recovery,8.544203758239746,8.944472312927246
10.2149,recovery,9.545413970947266,8.062458038330078
10.2745,recovery,9.487032890319824,8.7728853225708
