timestamp_s,stimulus_state,left_pupil_iris_ratio,right_pupil_iris_ratio,left_iris_diameter_px,right_iris_diameter_px
0.0000,baseline,0.9158966122808815,0.906613438202633,23.46698760986328,23.707275390625
0.1181,baseline,0.9023113317407473,0.9207610872240923,23.820308685302734,24.124969482421875
0.1851,baseline,0.885990862429206,0.914386122215361,24.078502655029297,24.29316520690918
0.2507,baseline,0.8460038040738037,0.9123672873092064,22.568851470947266,22.856292724609375
0.3203,baseline,,0.9238568279921977,22.34600257873535,22.572040557861328
0.3963,baseline,0.884740542875913,0.9145217779255164,22.57535743713379,22.802446365356445
0.4588,baseline,0.9137836455544053,0.9037058503467036,22.820865631103516,23.075355529785156
0.5243,baseline,0.9058472744980225,0.921155906643449,23.02080535888672,23.333003997802734
0.5873,baseline,0.9005523881945734,0.9105249159431251,23.156158447265625,23.605432510375977
0.7204,baseline,0.9202285479346961,0.9015682006245409,23.356517791748047,23.839942932128906
0.7753,baseline,0.9297161353094798,0.7672347065214399,23.892597198486328,24.36455726623535
0.8795,baseline,0.9058386671051423,0.9158821970444667,23.72755241394043,24.253482818603516
0.9400,baseline,0.9139757230151201,0.8823580751462042,23.516307830810547,24.177637100219727
0.9863,baseline,0.9049684764996474,0.8390146094577442,23.750368118286133,24.377803802490234
1.0708,baseline,0.9082767629927474,0.914616704221432,23.663860321044922,24.28704071044922
1.1183,baseline,0.8891913418459707,0.8328818675842,23.991836547851562,24.55730438232422
1.1693,baseline,0.9291908109379493,0.8723090091873332,23.906105041503906,24.456165313720703
1.2148,baseline,0.8173011263584898,0.9062204992771205,23.948741912841797,24.512062072753906
1.2559,baseline,0.8668284398470218,0.9082979812955653,23.78017807006836,24.455997467041016
1.3048,baseline,0.9188444520113143,0.9160255532955477,23.391700744628906,24.24968719482422
1.3504,baseline,0.8627327465330821,0.9238102581138704,23.151241302490234,24.04534149169922
1.3964,baseline,0.9245150274714712,0.920753079683018,23.248226165771484,24.125179290771484
1.4419,baseline,0.9194860835836306,,23.375377655029297,24.245365142822266
1.4879,baseline,0.9193370294355927,0.8035728464546465,23.379167556762695,24.35788345336914
1.5324,baseline,0.9197209775579551,0.912545428702305,23.369407653808594,24.342166900634766
1.5794,baseline,0.9135708546234003,0.8726457605758628,23.526729583740234,24.446727752685547
1.6220,baseline,0.912998841672669,0.9082857262961721,23.54146957397461,24.456327438354492
1.6670,baseline,0.906079898575934,0.9276298364796586,23.721235275268555,24.636262893676758
1.7090,baseline,0.9039054539821104,0.9256761444396596,23.77829933166504,24.68825912475586
1.7505,baseline,0.9288329485322542,0.9232999436698731,23.915315628051758,24.75179672241211
1.7975,baseline,0.8532568194570375,0.920634113241796,23.97089958190918,24.823469161987305
1.8441,baseline,0.8507441217661909,0.8858995484409622,23.947662353515625,24.80341339111328
1.8952,baseline,0.9294568110685815,0.9246183566916277,23.899263381958008,24.716503143310547
1.9528,baseline,0.9309152088407251,0.8541646134448927,23.8618221282959,24.69469451904297
2.0028,baseline,0.9244984242655172,0.9058393122761299,24.027442932128906,24.522377014160156
2.0483,baseline,0.8425602741005063,0.8569219320300722,24.275217056274414,24.615234375
2.1376,baseline,0.9155783437617678,0.9292429995360659,24.261531829833984,24.593494415283203
2.1855,baseline,0.8798286115720751,0.9044742420740542,24.247146606445312,24.55938720703125
2.2321,baseline,0.916505799329795,0.9052503300971236,24.236980438232422,24.538331985473633
2.2761,baseline,0.9153674930990902,0.9293156492024472,24.267120361328125,24.591571807861328
2.3216,baseline,0.8081181108203206,0.9044684821090325,24.220882415771484,24.55954360961914
2.3646,baseline,0.9160084778603714,0.856982094554749,24.250139236450195,24.613506317138672
2.4112,baseline,0.9165458305418057,0.9290883685296932,24.23592185974121,24.59758758544922
2.4662,baseline,0.9157368695346406,0.9295819842890717,24.25733184814453,24.58452606201172
2.5127,baseline,0.9163542173187109,0.930211441192797,24.240989685058594,24.567890167236328
2.5727,baseline,0.9165831240241881,0.9047308456606078,24.234935760498047,24.55242156982422
2.6232,baseline,0.9166961771634172,0.761172992616961,24.23194694519043,24.5585880279541
2.6802,baseline,0.9154163471157413,0.8582178900734317,24.265825271606445,24.57806396484375
2.7378,baseline,0.8436544817077185,0.8929328683714597,24.243732452392578,24.60804557800293
2.8048,baseline,0.9167834931827605,0.8575087774800259,24.229639053344727,24.598388671875
2.8683,baseline,0.844511437676868,0.92898391725017,24.219131469726562,24.600353240966797
2.9439,baseline,0.8808484219407554,0.9285313024524183,24.219074249267578,24.61234474182129
3.0079,flash,0.9181397455044501,0.928887266714691,24.19384765625,24.60291290283203
3.0724,flash,0.9188471057365182,0.9288210201418116,24.175222396850586,24.60466766357422
3.1409,flash,0.9176732598996201,0.9272673718763993,24.206146240234375,24.645893096923828
3.2049,flash,0.8797673651726152,0.8893134955626912,24.24883460998535,24.70819664001465
3.2665,flash,0.9134296348723508,0.9236817424015006,24.318603515625,24.741565704345703
3.3361,recovery,0.8001832517944275,0.9221954044194189,24.361087799072266,24.781442642211914
3.4061,recovery,0.8032806082288235,0.9226307786820171,24.366744995117188,24.76974868774414
