timestamp_s,stimulus_state,left_diameter_px,right_diameter_px
0.0010,baseline,,
1.2210,baseline,,
2.2614,baseline,,
3.3013,recovery,,
4.3301,recovery,,
5.3581,recovery,,
6.3867,recovery,,
7.4485,recovery,10.801262855529785,11.214221954345703
7.6131,recovery,,
7.6657,recovery,11.277914047241211,11.628336906433105
7.7358,recovery,11.472101211547852,11.734115600585938
7.7993,recovery,11.651357650756836,11.98139762878418
7.8648,recovery,11.801090240478516,12.171274185180664
7.9218,recovery,11.892278671264648,12.30514907836914
7.9834,recovery,12.093278884887695,12.511324882507324
8.0579,recovery,12.025701522827148,12.504692077636719
8.1279,recovery,12.06450080871582,12.581377029418945
8.1906,recovery,12.107320785522461,12.568807601928711
8.2572,recovery,12.032764434814453,12.431581497192383
8.3564,recovery,12.181292533874512,12.500993728637695
8.4105,recovery,12.089859008789062,12.400751113891602
8.4651,recovery,12.096738815307617,12.409867286682129
8.5134,recovery,12.094429016113281,12.392982482910156
8.5608,recovery,12.053787231445312,12.272497177124023
8.6108,recovery,12.181812286376953,12.420173645019531
8.6571,recovery,12.06645679473877,12.333783149719238
8.7081,recovery,12.060524940490723,12.282096862792969
8.7527,recovery,12.075532913208008,12.334232330322266
8.7987,recovery,12.0509672164917,12.2833251953125
8.8448,recovery,11.933025360107422,12.256817817687988
8.8893,recovery,11.941022872924805,12.273987770080566
8.9444,recovery,11.959031105041504,12.341869354248047
8.9915,recovery,11.838112831115723,12.304464340209961
9.0432,recovery,11.859663009643555,12.336418151855469
9.0938,recovery,11.792298316955566,12.266157150268555
9.1449,recovery,11.797903060913086,12.24376106262207
9.1976,recovery,11.796745300292969,12.259849548339844
9.2583,recovery,11.821878433227539,12.253689765930176
9.3322,recovery,11.424461364746094,11.562477111816406
9.3758,recovery,11.23471736907959,11.245899200439453
9.4158,recovery,11.520013809204102,11.578958511352539
9.4574,recovery,11.704898834228516,11.792253494262695
9.4964,recovery,11.87136459350586,12.0205078125
9.5475,recovery,12.013181686401367,12.105953216552734
9.6035,recovery,12.059002876281738,12.16071605682373
9.6466,recovery,12.07582950592041,12.194944381713867
9.6890,recovery,12.076473236083984,12.24149227142334
9.7350,recovery,12.09044075012207,12.274774551391602
9.8144,recovery,12.067340850830078,12.275857925415039
9.8652,recovery,12.057058334350586,12.24891185760498
9.9052,recovery,12.069879531860352,12.251676559448242
9.9638,recovery,12.093445777893066,12.254459381103516
10.0264,recovery,12.081253051757812,12.249502182006836
10.0768,recovery,12.07308578491211,12.241430282592773
10.1198,recovery,12.060461044311523,12.239936828613281
10.1604,recovery,12.080598831176758,12.25739860534668
10.2024,recovery,11.935401916503906,12.123678207397461
10.2520,recovery,10.90699291229248,10.759449005126953
10.2940,recovery,10.968812942504883,10.822772979736328
