timestamp_s,stimulus_state,left_pupil_iris_ratio,right_pupil_iris_ratio,left_iris_diameter_px,right_iris_diameter_px
0.0000,baseline,,,16.161104202270508,16.69979476928711
0.1454,baseline,,,16.392093658447266,16.875240325927734
0.1954,baseline,,,16.920047760009766,17.389066696166992
0.2399,baseline,,,17.25042152404785,17.635833740234375
0.2789,baseline,,,17.388713836669922,17.7381591796875
0.3195,baseline,,,17.440444946289062,17.78510284423828
0.3625,baseline,,,17.43247413635254,17.83139991760254
0.4028,baseline,,,17.54900360107422,17.938217163085938
0.4418,baseline,,,17.548202514648438,17.936214447021484
0.4782,baseline,,,17.592748641967773,17.985219955444336
0.5230,baseline,,0.8105123099945404,17.587303161621094,17.963947296142578
0.5744,baseline,,,17.54914093017578,17.957006454467773
0.6212,baseline,,,17.44341278076172,17.92961883544922
0.6894,baseline,,,17.508846282958984,18.077531814575195
0.7708,baseline,,,17.48881721496582,18.082443237304688
0.8224,baseline,,,17.46658706665039,18.043060302734375
0.8824,baseline,,,17.45232391357422,18.036075592041016
0.9309,baseline,,,17.45273208618164,18.03170394897461
0.9849,baseline,,,17.458648681640625,18.024765014648438
1.0305,baseline,,,17.41464614868164,18.020774841308594
1.0754,baseline,,,17.39385986328125,18.02069091796875
1.1220,baseline,,,17.333393096923828,18.01529312133789
1.1750,baseline,,,17.319828033447266,18.00227165222168
1.2336,baseline,,,17.301054000854492,17.98871612548828
1.2886,baseline,,,17.333267211914062,18.014019012451172
1.3381,baseline,,,17.34709930419922,18.023956298828125
1.3901,baseline,,,17.344768524169922,18.022441864013672
1.4547,baseline,,,17.401596069335938,18.09534454345703
1.5033,baseline,,,17.404521942138672,18.11431312561035
1.5513,baseline,,,17.439437866210938,18.148563385009766
1.5963,baseline,,,17.454906463623047,18.199617385864258
1.6398,baseline,,,17.46181869506836,18.251079559326172
1.6919,baseline,,,17.479690551757812,18.31680679321289
1.7444,baseline,,,17.490570068359375,18.33792495727539
1.7914,baseline,,,17.441165924072266,18.265281677246094
1.8470,baseline,,,17.435035705566406,18.249916076660156
1.9025,baseline,,,17.46578025817871,18.249435424804688
