timestamp_s,stimulus_state,left_diameter_px,right_diameter_px
0.0010,baseline,9.849058151245117,8.544203758239746
0.4233,baseline,9.487032890319824,9.849058151245117
0.5749,baseline,9.487032890319824,8.944472312927246
0.6745,baseline,8.544203758239746,7.693292617797852
0.7957,baseline,8.246411323547363,8.544203758239746
0.9053,baseline,8.544203758239746,8.062458038330078
1.0159,baseline,8.498565673828125,8.610694885253906
1.1035,baseline,9.849058151245117,8.944472312927246
1.1960,baseline,7.615972995758057,8.944472312927246
1.2896,baseline,9.434181213378906,9.434181213378906
1.3676,baseline,,8.944472312927246
1.4927,baseline,8.544203758239746,10.440506935119629
1.5983,baseline,7.615972995758057,8.062458038330078
1.8624,baseline,9.487032890319824,8.944472312927246
1.9440,baseline,9.487032890319824,8.062458038330078
2.0195,baseline,9.487032890319824,8.062458038330078
2.0981,baseline,9.219744682312012,8.544203758239746
2.1841,baseline,9.219744682312012,8.062458038330078
2.2647,baseline,9.219744682312012,8.544203758239746
2.3702,baseline,8.944472312927246,8.665489196777344
2.4688,baseline,9.434181213378906,8.310585021972656
2.5634,baseline,9.487032890319824,9.487032890319824
2.6380,baseline,9.219744682312012,10.440506935119629
2.7166,baseline,9.219744682312012,8.544203758239746
2.8021,baseline,7.615972995758057,7.615972995758057
2.9037,baseline,8.944472312927246,8.944472312927246
2.9913,baseline,8.062458038330078,8.062458038330078
3.0673,flash,8.310585021972656,8.944472312927246
3.3549,recovery,9.219744682312012,8.944472312927246
3.4535,recovery,9.219744682312012,8.062458038330078
3.5581,recovery,8.544203758239746,8.062458038330078
3.6416,recovery,9.219744682312012,8.544203758239746
3.7998,recovery,8.944472312927246,8.062458038330078
3.9214,recovery,8.544203758239746,7.615972995758057
4.0429,recovery,8.544203758239746,8.60252571105957
4.1225,recovery,7.693292140960693,8.062458038330078
4.2191,recovery,9.487032890319824,8.062458038330078
4.3086,recovery,9.219744682312012,8.544203758239746
4.3922,recovery,8.60252571105957,8.062458038330078
4.4642,recovery,8.310585021972656,8.062458038330078
4.5587,recovery,8.062458038330078,8.062458038330078
4.6383,recovery,8.544203758239746,9.487032890319824
4.7249,recovery,8.544203758239746,9.487032890319824
4.8104,recovery,8.062458038330078,8.944472312927246
4.8854,recovery,8.544203758239746,8.544203758239746
5.0016,recovery,9.487032890319824,7.615972995758057
5.1231,recovery,8.062458038330078,8.062458038330078
5.2388,recovery,8.062458038330078,8.944472312927246
5.3314,recovery,8.062458038330078,8.544203758239746
5.3959,recovery,8.062458038330078,8.610694885253906
5.4800,recovery,7.615972995758057,8.544203758239746
5.5745,recovery,9.529959678649902,7.615972995758057
5.6690,recovery,9.219744682312012,7.615972995758057
5.7436,recovery,8.944472312927246,7.211302280426025
5.8172,recovery,9.487032890319824,8.544203758239746
5.8882,recovery,10.295830726623535,
5.9588,recovery,8.60252571105957,9.849058151245117
6.0504,recovery,10.440506935119629,7.615972995758057
6.1611,recovery,8.310585021972656,8.665489196777344
6.2626,recovery,10.19823932647705,8.062458038330078
6.3272,recovery,9.487032890319824,7.615972995758057
6.4138,recovery,9.849058151245117,7.615972995758057
6.4868,recovery,9.487032890319824,8.062458038330078
6.5723,recovery,7.615972995758057,8.544203758239746
6.6479,recovery,8.544203758239746,8.944472312927246
6.7284,recovery,9.487032890319824,8.062458038330078
6.8030,recovery,8.544203758239746,8.544203758239746
6.8760,recovery,9.487032890319824,8.062458038330078
6.9836,recovery,9.487032890319824,7.852128982543945
7.0892,recovery,10.440506935119629,8.310585021972656
7.1858,recovery,9.487032890319824,7.615972995758057
7.2513,recovery,9.219744682312012,7.693292617797852
7.3229,recovery,7.211302280426025,8.944472312927246
7.3869,recovery,8.7728853225708,7.615972995758057
7.4635,recovery,6.708403587341309,7.842656135559082
7.5851,recovery,7.615972995758057,8.062458038330078
7.6687,recovery,8.062458038330078,7.842656135559082
7.7443,recovery,7.852128982543945,7.842656135559082
7.8208,recovery,8.610694885253906,8.095704078674316
7.8995,recovery,7.693292617797852,8.062458038330078
7.9925,recovery,7.810449600219727,8.062458038330078
8.0710,recovery,7.693292617797852,7.810449600219727
8.1416,recovery,7.852128982543945,8.062458038330078
8.2192,recovery,8.60252571105957,8.062458038330078
8.2912,recovery,8.062458038330078,8.062458038330078
8.3617,recovery,8.062458038330078,8.062458038330078
8.4453,recovery,7.8521294593811035,8.062458038330078
8.5579,recovery,8.062458038330078,8.60252571105957
8.6484,recovery,8.544203758239746,8.062458038330078
8.7605,recovery,8.544203758239746,7.810449600219727
8.8652,recovery,8.062458038330078,8.062458038330078
8.9507,recovery,5.831151485443115,8.062458038330078
9.0263,recovery,6.3247551918029785,6.403324127197266
9.1300,recovery,4.24284029006958,7.211302280426025
9.2094,recovery,6.403324127197266,7.211302280426025
9.2855,recovery,,6.708403587341309
9.3680,recovery,5.000199794769287,7.615972995758057
9.4412,recovery,,7.615972995758057
9.5418,recovery,,9.849058151245117
9.6274,recovery,4.24284029006958,8.062458038330078
9.7190,recovery,7.211302280426025,8.062458038330078
9.8555,recovery,8.60252571105957,8.60252571105957
9.9481,recovery,7.8521294593811035,8.062458038330078
10.0417,recovery,7.615972995758057,8.544203758239746
10.1162,recovery,8.062458038330078,9.849058151245117
10.2238,recovery,9.434181213378906,10.440506935119629
