timestamp_s,stimulus_state,left_pupil_iris_ratio,right_pupil_iris_ratio,left_iris_diameter_px,right_iris_diameter_px
0.0255,baseline,0.9259854384125095,0.9130705626636005,22.520153045654297,22.108551025390625
0.2023,baseline,0.9013773318336473,0.9142846397997119,22.424942016601562,22.079193115234375
0.3124,baseline,0.9070358873267709,0.8353769668192459,22.285043716430664,22.057907104492188
0.4035,baseline,0.9270560041895345,0.9256269089613647,21.7750244140625,21.808643341064453
0.5050,baseline,0.9103584734386281,0.9212028189705992,22.174415588378906,21.913379669189453
0.5902,baseline,0.9020268577533906,0.9271023739906509,22.408794403076172,21.773935317993164
0.6838,baseline,0.9233279191079311,0.9006809835811036,22.584970474243164,21.702098846435547
0.7594,baseline,0.8433763645651047,0.8999156935953653,22.639162063598633,21.72055435180664
0.9819,baseline,0.8873298902535989,0.8990526277804418,22.509479522705078,21.741405487060547
1.0676,baseline,0.8866319889397062,0.909201264965932,23.24903106689453,22.202638626098633
1.1562,baseline,0.908017874959443,0.8319945126667512,22.965774536132812,22.1475830078125
1.2308,baseline,0.9188909307468367,0.8333359067206612,22.69402503967285,22.1119327545166
1.3416,baseline,0.9092542096116188,0.7867998829725985,22.934547424316406,22.335201263427734
1.4532,baseline,0.8698960715899459,0.9019787211521196,22.96059799194336,22.409990310668945
1.5478,baseline,0.9084894479145806,0.9281041834534625,22.953853607177734,22.46874237060547
1.6244,baseline,0.8699362515136839,0.9285069536978202,22.959537506103516,22.458995819091797
1.7064,baseline,0.9099819343406111,0.9024140566752509,22.91620635986328,22.399179458618164
1.7669,baseline,0.9187270020344537,0.9073584078762326,22.698074340820312,22.277122497558594
1.8315,baseline,0.9216747308918215,0.9134327442762011,22.62548065185547,22.09978485107422
1.8925,baseline,0.9204354843059368,0.8773771018123684,22.655942916870117,22.004981994628906
1.9510,baseline,0.9214135841642345,0.918654174011356,22.631893157958984,21.97417449951172
2.0131,baseline,0.9129610828877146,0.7951924354939783,22.841426849365234,22.06593894958496
2.0696,baseline,0.9132005261681099,0.7154198318883197,22.835437774658203,22.06629753112793
2.1285,baseline,0.9136944502897713,0.912097186699298,22.82309341430664,22.132144927978516
2.1885,baseline,0.9156734307296538,0.917523754535837,22.773767471313477,22.00124740600586
2.2611,baseline,0.9141065894323017,0.920934608671964,22.812803268432617,21.919761657714844
2.3327,baseline,0.8393970673444181,0.8042818880386067,22.74648666381836,21.816564559936523
2.3987,baseline,0.9090795655658694,0.8375518343285073,22.938953399658203,22.000629425048828
2.4689,baseline,,,,
2.5195,baseline,0.9241751757035288,0.8797732498279522,21.150392532348633,21.945049285888672
2.5885,baseline,0.8345072957160911,0.9095477980015485,22.080894470214844,22.19417953491211
2.6660,baseline,0.7702968438398999,0.9133197089953711,22.502147674560547,22.102519989013672
2.7366,baseline,,,,
2.9133,baseline,,,,
2.9548,baseline,,,,
3.0833,flash,,,,
3.1589,flash,,,,
3.1969,flash,,,,
3.2956,flash,,,,
3.3462,recovery,,,,
3.3922,recovery,,,,
3.4368,recovery,,,,
3.4848,recovery,0.8451832504032771,0.9200721914421712,21.801979064941406,21.24471092224121
3.5814,recovery,0.8446063315400169,0.863124157164111,22.60619354248047,21.626861572265625
3.6630,recovery,0.7657877355319903,0.7400698986128964,22.53017807006836,21.65561294555664
3.7526,recovery,0.9169948542039359,0.9249617848452412,22.740949630737305,21.824325561523438
3.8542,recovery,,,,
3.9269,recovery,,,,
4.0225,recovery,,,,
4.0725,recovery,,,,
4.1521,recovery,,,,
4.2081,recovery,,,,
4.2577,recovery,,,,
4.3454,recovery,0.7170608955438013,0.9212913729861445,22.015796661376953,22.63489532470703
4.4480,recovery,0.7488918365755509,0.8325686924336114,22.290714263916016,22.132308959960938
4.5385,recovery,0.8104740375614827,0.9139693732909068,22.47244644165039,22.086809158325195
4.6341,recovery,0.9140446111302933,0.7936606012795645,22.814350128173828,22.10852813720703
4.7246,recovery,0.8332136118005478,0.8742981368208563,22.819278717041016,22.082475662231445
4.8047,recovery,,,,
4.8922,recovery,,,,
4.9678,recovery,0.9075335326730475,0.8028331756089763,22.978031158447266,22.686325073242188
5.0764,recovery,,,,
5.1299,recovery,,,,
5.1850,recovery,,,,
5.2456,recovery,0.8855765141151739,0.9129536793685331,22.554046630859375,22.11138153076172
5.3156,recovery,0.9117711461083199,0.8284342696130522,22.87123680114746,22.274951934814453
5.3761,recovery,0.9193373015726196,0.8754983044889743,22.683006286621094,22.052204132080078
5.4568,recovery,0.9227373094515968,0.9162836130388126,22.59942626953125,22.031024932861328
5.5128,recovery,0.881920941543995,0.7907601400411555,22.647533416748047,22.223342895507812
5.5743,recovery,0.8851460981100425,0.9102842462069581,22.565013885498047,22.176223754882812
5.6318,recovery,0.9247462347263512,0.9156842080643208,22.550331115722656,22.045446395874023
5.6919,recovery,0.8223004389178264,,22.44110870361328,21.772499084472656
5.7515,recovery,0.9248568464307915,0.8423275719659412,22.54763412475586,21.875892639160156
5.8125,recovery,0.9239926834345938,0.9194369183021764,22.568721771240234,21.955467224121094
5.8741,recovery,0.8043860637804336,0.9185308346864292,22.642528533935547,21.97712516784668
6.1538,recovery,0.871753713175774,0.9138684360740451,22.911670684814453,22.089248657226562
6.2260,recovery,0.9029280927842217,0.9259554804540554,23.095232009887695,22.52088165283203
6.2985,recovery,0.906369790284119,0.8232412577616242,23.00753402709961,22.415462493896484
6.3631,recovery,0.9034830065811009,0.9053034276599004,23.08104705810547,22.32769012451172
6.4317,recovery,0.8310956651110891,,22.973690032958984,22.26748275756836
6.4927,recovery,,,,
6.5784,recovery,0.9168353963565236,0.707868514209045,23.44295883178711,23.13047218322754
6.6640,recovery,0.9191870463330613,0.8609609673887721,22.68671417236328,22.455528259277344
6.7365,recovery,0.913750348024843,0.888660910616016,22.821697235107422,22.475765228271484
6.8301,recovery,0.8348550959664958,0.7443986619938231,22.870237350463867,22.425260543823242
6.8991,recovery,0.9066027810720987,0.8614831331921585,23.00162124633789,22.441917419433594
6.9689,recovery,0.8420390414367346,0.797584034818604,22.67511749267578,21.999773025512695
7.0354,recovery,0.8354235600919746,0.91590759507751,22.85467529296875,22.040069580078125
7.1014,recovery,0.9082968360895336,0.9085496726739923,22.958721160888672,22.247913360595703
7.1679,recovery,0.7995250144947776,0.8692623426659183,22.780193328857422,22.210403442382812
7.2336,recovery,0.8860208426863018,0.9157494140808641,22.542736053466797,22.04387664794922
7.2982,recovery,0.9008841764848362,0.9175255044776314,22.437217712402344,22.001205444335938
7.3645,recovery,0.9093020250063572,0.9234050533021124,22.22950553894043,21.86111831665039
7.4301,recovery,0.833206753798694,0.9245254680909846,22.115360260009766,21.834625244140625
7.4941,recovery,0.9157289718273065,0.9004383480054622,22.044368743896484,21.70794677734375
7.5596,recovery,0.9100119484832329,0.899224445696282,22.182859420776367,21.73725128173828
7.6221,recovery,0.7503834533242371,0.9012407466670794,22.24640464782715,21.68861961364746
7.6982,recovery,0.9091693206514753,0.9084275053916023,22.203418731689453,21.51703643798828
7.7667,recovery,,0.9196373217282413,22.03550148010254,21.254756927490234
