timestamp_s,stimulus_state,left_pupil_iris_ratio,right_pupil_iris_ratio,left_iris_diameter_px,right_iris_diameter_px
0.0010,baseline,0.9180987307803901,0.927630716117155,21.987468719482422,21.761533737182617
0.1491,baseline,0.8602898079865547,0.707617989706715,21.6981143951416,21.405147552490234
0.2537,baseline,0.9228884131197259,0.8992842421204407,21.179882049560547,20.935169219970703
0.3333,baseline,0.7607188545486914,0.8664671755087845,21.067792892456055,20.712461471557617
0.4083,baseline,0.7172514652630682,0.9139487284425986,21.117652893066406,20.599260330200195
0.4871,baseline,0.9101307648103159,0.9039133973214094,21.476768493652344,20.82795524597168
0.5677,baseline,0.9254710181425756,0.8761829387990676,21.81231689453125,21.30453109741211
0.6509,baseline,0.8673106715732132,0.7966259688821734,21.52246856689453,21.122419357299805
0.7335,baseline,0.9062566425191797,0.7145437230197572,21.568578720092773,21.197677612304688
0.8199,baseline,0.6936338279544249,0.9133075468047003,21.721355438232422,21.40206527709961
0.9171,baseline,0.9139536669738617,0.8257947556439599,22.087188720703125,21.538846969604492
0.9931,baseline,0.9276749993056463,0.8985681364203797,22.479137420654297,21.753128051757812
1.2642,baseline,0.8004115843972055,0.7476399505119964,21.922056198120117,21.436344146728516
1.3371,baseline,0.9175051419316465,0.8695945574517532,22.001693725585938,21.4659423828125
1.4273,baseline,0.9190415487865805,0.8299478909403215,21.96491241455078,21.43106460571289
1.5149,baseline,0.9189159512489704,0.7078444250010162,21.967914581298828,21.398300170898438
1.6154,baseline,0.8853776921908884,0.8448461710595575,21.806137084960938,21.053142547607422
1.6844,baseline,0.7153477046571229,0.8784842024633954,21.956687927246094,21.248722076416016
1.7521,baseline,0.9221150681672416,0.8777472082319415,21.891700744628906,21.266563415527344
1.8276,baseline,0.9175186638340257,0.9152092768077722,22.00136947631836,21.357593536376953
1.9006,baseline,0.8715703336682219,0.8185913345156322,22.151588439941406,21.728384017944336
1.9742,baseline,0.911511723021359,0.8841557877995503,22.146360397338867,21.836273193359375
2.0498,baseline,0.9142332253877041,0.908979607138566,22.080434799194336,21.50396728515625
2.1281,baseline,0.7039341915925551,0.8415541292252046,22.350574493408203,21.895998001098633
2.2126,baseline,0.9032788294637852,0.8147373429388057,22.377735137939453,21.732975006103516
2.2847,baseline,0.9031354963480094,0.9273559875872688,22.38128662109375,21.767980575561523
2.4204,baseline,0.9225873421962812,0.9157896673875102,22.603099822998047,22.04290771484375
2.4865,baseline,0.9258160681308012,0.879436167151581,22.524272918701172,21.953460693359375
2.5475,baseline,0.9140023545424117,0.8660236743541575,22.815404891967773,22.324254989624023
2.6130,baseline,0.9151952149231966,0.7488286586343181,22.785667419433594,22.29259490966797
2.6800,baseline,0.9148548893442412,0.7838960060856989,22.794143676757812,22.417940139770508
2.7397,baseline,0.9209967708421082,0.9070367412801404,22.642135620117188,22.285022735595703
2.9093,baseline,0.9048665021216987,0.803433006138906,23.045757293701172,22.669387817382812
2.9728,baseline,0.9099901899771857,0.787069407080157,22.915998458862305,22.327552795410156
3.0423,flash,0.9211139372177461,0.9086129594313151,22.63925552368164,22.21701431274414
3.1139,flash,0.9278441055833885,0.8817216083968592,22.475040435791016,21.896556854248047
3.1779,flash,0.7476888044693526,0.8588866502156657,22.326580047607422,21.733562469482422
3.2415,flash,0.7874387060194804,0.8595503236415358,22.317081451416016,21.716781616210938
3.3228,recovery,0.8499611886611456,0.8797321134316652,22.46377182006836,21.946075439453125
3.3912,recovery,0.885492194476629,0.9136784599567295,22.556194305419922,22.093841552734375
3.4578,recovery,,0.9179318306960945,22.486183166503906,21.991466522216797
3.5516,recovery,0.6858499523889844,0.9075718650097288,22.706619262695312,22.271883010864258
3.6151,recovery,0.9235746262600596,0.9101345757830094,22.578937530517578,22.17987060546875
3.6802,recovery,0.9012932365783667,0.837187772303142,22.427034378051758,22.010196685791016
3.7437,recovery,0.8500890901392476,0.909657868700164,22.460391998291016,22.19149398803711
